问题类型,能力包候选,业务价值,核心业务问题,总数,可竞聘,可入围需补证,暂停竞聘,不参评,高把握,中把握,需补证,代表性skill,下一步业务动作
消费者与市场机会判断,机会洞察与商业论证,更早看清目标人群、真实需求和外部机会，避免把内部猜测当成市场事实。,目标人群在什么情境下遇到什么问题，哪一个机会值得进入下一步？,1002,238,42,722,0,173,829,0,alibaba-global-ai-image-studio；alibaba-global-chat-analysis-pro；build-ai-report；Claude 教程采集与翻译项目；huashu-nuwa；infimind-video-analysis,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
商业机会与投入取舍,机会洞察与商业论证,把机会转成可比较的经营选项，帮助团队看清价值、投入、风险和学习价值。,这件事值不值得投入，什么条件下成立，先验证什么？,95,16,16,63,0,4,91,0,equity-earnings-review；financial-report-reader；p2s-bayesian-mmm-action-plan-generator；p2s-bayesian-mmm-action-plan-generator；p2s-bayesian-mmm-scenario-action-plan；p2s-bayesian-mmm-scenario-action-plan,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
产品定义与方案设计,新品定义、实现与验证,把用户问题和经营选择转成可验证的产品要求、概念或方案，减少返工和错配。,要为谁解决什么问题，产品方案和验收要求应该是什么？,194,37,0,157,0,6,157,31,AI产品设计师；AI产品设计师；linkfox-echotik-list-new-product-rank；linkfox-zhihuiya-patent-image-search；linkfox-zhihuiya-utility-patent-image-search；p2s-ai-explainability-consumer-trust,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
产品实现与质量验证,新品定义、实现与验证,让方案能够被实现并被检验，明确已完成范围、质量证据、缺陷和未验证项。,这个方案能否按要求实现，并在明确条件下证明质量和安全？,375,54,12,309,0,35,340,0,linkfox-1688-search-by-image；p2s-agent-capability-evaluation；p2s-agent-production-engineering；p2s-agent-production-engineering；p2s-augmented-synthetic-control-ml；p2s-augmented-synthetic-control-ml,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
市场准入与合规判断,准入与上市准备,在进入市场和表达主张前识别适用条件、证据缺口和限制，减少不可售或违规风险。,某个产品版本、市场、用途或宣称是否满足进入和表达条件？,274,109,7,158,0,65,209,0,linkfox-zhihuiya-legal-status；p2s-ai-humanities-healing-cards；p2s-ai-humanities-healing-cards；p2s-ai-parenting-advice-hallucination-guard；p2s-ai-product-safety-certification；p2s-ai-product-safety-certification,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
上市与新市场进入,准入与上市准备,把新产品或新市场的目标、路径、成立条件和验证安排组织成可执行的上市准备。,怎样进入目标市场并形成实际可售，哪些条件必须先满足？,63,37,0,26,0,9,39,15,Destination Country Classification & Tax Calcul…；GTM战略规划；GTM战略规划；p2s-ai-cultural-sensitivity-localization；p2s-ai-cultural-sensitivity-localization；p2s-anchorcrafter-virtual-anchor-demo,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
品牌、内容与转化表达,品牌内容、获客与转化,让对的人理解产品价值并完成下一步行动，同时保持品牌、事实与表达边界一致。,如何把可兑现的价值主张变成面向目标受众的内容、商品表达和转化体验？,813,219,16,578,0,225,588,0,brand-naming-lab；campaign-planner；competitive-report；competitive-seo-intel；dingtalk-doc；douyinvideo2text-ai,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
定价、促销与经营经济性,定价、促销与经营经济性,比较价格、促销和不行动基线，说明对利润、现金和经营结果的影响。,该用什么价格或促销安排，经济上是否成立，风险和前提是什么？,266,103,4,159,0,85,181,0,1688-sourcing；cashflow-valuation；cbec-basket-analysis；cbec-pricing-optimization；linkfox-junglescout-product-database；linkfox-keepa-product-request,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
需求、供给与履约联动,需求、供给与履约联动,把需求变化与库存、供给、承诺和交付条件一起判断，减少缺货、积压和失约。,需求变化后，供给、库存、履约和承诺怎样调整才可兑现？,737,183,4,550,0,253,484,0,alibaba-prohibited-rule-interpretation；p2s-3d-bin-packing-optimization；p2s-3d-bin-packing-optimization；p2s-agent-fault-tolerance；p2s-agent-fault-tolerance；p2s-ai-carbon-footprint-optimizer,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
获客投放与增长优化,品牌内容、获客与转化,把明确目标下的获客投入做成有边界的投放、实验和优化反馈，减少无效消耗。,在授权范围内，哪些获客动作能带来更好的增长或学习结果？,188,23,2,163,0,21,167,0,p2s-agemem-unified-agent-memory；p2s-agemem-unified-agent-memory；p2s-baby-age-aware-recommendation；p2s-baby-age-aware-recommendation；p2s-joint-ads-recommendation-optimization；p2s-joint-ads-recommendation-optimization,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
经营监测、诊断与实验,经营监测、实验与优化,让经营团队区分事实、解释和预测，用可追溯证据发现问题、比较行动并验证效果。,经营结果为什么变化，应该验证什么，调整后有没有产生预期效果？,782,254,26,502,0,91,637,54,ecommerce-data-analyst；linkfox-fastmoss-product-rank-top-selling；linkfox-youying-shopee-get-product-infos；p2s-ab-experimental-design；p2s-ab-experimental-design；p2s-ab-variance-downstream,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
数据、口径与语义治理,数据、口径与语义底座,让不同角色基于同一业务含义、可信来源和可追溯对象关系协作，减少口径冲突。,经营数据从哪里来、是否可信、业务含义和对象关系是否一致？,322,61,12,249,0,11,274,37,excel-product-data；fiction-polish-distill；line-chart-visualization；linkfox-amazon-alexa-search；linkfox-junglescout-sales-estimates；linkfox-zhihuiya-abstract-image,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
知识、方法与工作流沉淀,知识、方法与工作流资产,把经验、研究和可复用作业方法整理成可定位、可验证、可维护的能力资产。,哪些经验或研究能被整理成可复用方法，如何说明适用范围和验证情况？,3467,107,51,3309,0,161,3302,4,book-knowledge-extraction；fyopen-lawsearch；grade2-math-worksheet；ilya-sutskever-perspective；linkfox-fastmoss-product-search；naval-perspective,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
工具、自动化与运行保障,工具、自动化与运行保障,让已确认的工作能够稳定调用工具、自动化执行、测试、部署和恢复，而不是靠手工临时拼接。,怎样让一个已明确的工作流可靠运行，并在失败时可诊断、可恢复？,1048,29,17,1002,0,151,892,5,agentic-eval；aily-cli-event；aily-cli-event；alibaba-global-product-publish；browser-rpa-run；code-documenter,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
责任、授权与风险治理,责任、授权与风险治理,把责任、权限、前提、审查和风险边界讲清楚，避免能力看似可用却被越界使用。,谁可在什么前提下做什么，如何复核风险、证据和例外？,841,354,25,462,0,60,769,12,linkfox-ruiguan-copyright-detection；linkfox-ruiguan-detection-patent-design；linkfox-ruiguan-gun-parts-search；linkfox-ruiguan-trademark-graphic-detection；linkfox-ruiguan-utility-patent-detection；MECE知识提取器,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
待提炼的研究或通用素材,待提炼或暂不参评,保留可能有价值的素材，但在业务问题、输入输出或适用边界未清之前不进入正式能力竞聘。,这份素材究竟能解决什么业务问题，需补哪些证据才能参与竞聘？,2202,0,5,2197,0,0,0,2202,p2s-digital-wellbeing-screen-time-model；p2s-tiktok-repurchase-from-live-audience；seedance-storyboard；冷邮件；冷邮件；adhd-daily-planner,先补业务连接、输入输出与验收样例；未补齐前不进入正式能力竞聘。
暂不属于三宝经营网络,待提炼或暂不参评,保留来源可追溯性，不把当前无明确经营关系的材料误放入能力候选池。,它是否与当前三宝经营网络有关，若有关需要补充怎样的连接证据？,202,0,0,0,202,0,0,202,ai-elements；ai-elements；ai-elements；asset-generator；chrono-flow；Design Wizard,先补业务连接、输入输出与验收样例；未补齐前不进入正式能力竞聘。
