candidate_id,候选名称,候选层级,数字员工候选,三宝Preset候选,业务价值类型,问题类型,主核心能力,包含skill数,平均置信度,优先级,代表技能,建议下一步,复核原因
SANBAO-5e62d729-诊断归因,增长与收入 × 诊断归因 Preset 候选｜诊断归因｜DiD/因果推断,待复核资产池,待人工命名,增长与收入 × 诊断归因 Preset 候选,增长与收入,诊断归因,DiD/因果推断,44,0.919,P3-先补证,cbec-causal-inference；p2s-augmented-synthetic-control-ml；p2s-augmented-synthetic-control-ml；p2s-bayesian-structural-time-series；p2s-bayesian-structural-time-series；p2s-car-agent-causal-shapley；p2s-car-agent-causal-shapley；p2s-causal-churn-retention-attribution,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,2 条源文件不可稳定读取
SANBAO-e06fb799-诊断归因,增长与收入 × 诊断归因 Preset 候选｜诊断归因｜NLP/情感分析,原子技能组候选,待人工命名,增长与收入 × 诊断归因 Preset 候选,增长与收入,诊断归因,NLP/情感分析,2,0.95,P2-可评审,p2s-review-defense-vine-optimizer；p2s-review-defense-vine-optimizer,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-6bac972b-诊断归因,增长与收入 × 诊断归因 Preset 候选｜诊断归因｜预测建模,待复核资产池,待人工命名,增长与收入 × 诊断归因 Preset 候选,增长与收入,诊断归因,预测建模,3,0.95,P3-先补证,ecommerce-data-analyst；SKU 生命周期标注（导入/成长/成熟/衰退）；漏斗归因诊断,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-33a742c0-诊断归因,增长与收入 × 诊断归因 Preset 候选｜诊断归因｜按技能原文流程执行,待复核资产池,待人工命名,增长与收入 × 诊断归因 Preset 候选,增长与收入,诊断归因,按技能原文流程执行,6,0.615,P3-先补证,Skill-AIGC-Revenue-Attribution；Skill-Promo-ROI-Attribution-Supply-Side；Skill-TikTok-Creator-ROI-Attribution；Skill-AIGC-Revenue-Attribution；Skill-Promo-ROI-Attribution-Supply-Side；Skill-TikTok-Creator-ROI-Attribution,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,3 条源文件不可稳定读取；超过半数记录需要字段复核；核心能力未结构化
SANBAO-86ba9810-预测预警,增长与收入 × 预测预警 Preset 候选｜预测预警｜DiD/因果推断,场景工作流候选,待人工命名,增长与收入 × 预测预警 Preset 候选,增长与收入,预测预警,DiD/因果推断,7,0.947,P2-可评审,p2s-causal-uplift-modeling；p2s-causal-uplift-modeling；p2s-live-audience-real-time-personalization；p2s-live-audience-real-time-personalization；p2s-dqn-purchase-prediction；p2s-dqn-purchase-prediction；mckinsey-insight-extraction,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-aa04f5c2-预测预警,增长与收入 × 预测预警 Preset 候选｜预测预警｜NLP/情感分析,场景工作流候选,待人工命名,增长与收入 × 预测预警 Preset 候选,增长与收入,预测预警,NLP/情感分析,9,0.95,P2-可评审,p2s-competitor-new-product-detection；p2s-competitor-new-product-detection；p2s-multimodal-new-product-sales-forecast；p2s-multimodal-new-product-sales-forecast；p2s-review-attack-hawkes-process；p2s-review-attack-hawkes-process；p2s-sir-viral-product-adoption-forecasting；p2s-sir-viral-product-adoption-forecasting,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-47c6ccf6-预测预警,增长与收入 × 预测预警 Preset 候选｜预测预警｜预测建模,待复核资产池,待人工命名,增长与收入 × 预测预警 Preset 候选,增长与收入,预测预警,预测建模,51,0.895,P3-先补证,cbec-anomaly-detection；cbec-cohort-analysis；cbec-yoy-mom-analysis；ecom-daily-report；p2s-agentic-pnl-analyst；p2s-agentic-pnl-analyst；p2s-business-scale-kpi-growth-achievement；p2s-business-scale-kpi-growth-achievement,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,4 条源文件不可稳定读取
SANBAO-d542efb1-预测预警,增长与收入 × 预测预警 Preset 候选｜预测预警｜合规/规则扫描,原子技能组候选,待人工命名,增长与收入 × 预测预警 Preset 候选,增长与收入,预测预警,合规/规则扫描,4,0.95,P2-可评审,p2s-high-value-customer-proactive-alert；p2s-high-value-customer-proactive-alert；p2s-listing-suppression-detection；p2s-listing-suppression-detection,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-83df65c6-预测预警,增长与收入 × 预测预警 Preset 候选｜预测预警｜工程模式/自动化,原子技能组候选,待人工命名,增长与收入 × 预测预警 Preset 候选,增长与收入,预测预警,工程模式/自动化,2,0.95,P2-可评审,p2s-seller-rating-attack-pattern；p2s-seller-rating-attack-pattern,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-3ade9da6-优化决策,增长与收入 × 优化决策 Preset 候选｜优化决策｜DiD/因果推断,Preset/数字员工能力池候选,待人工命名,增长与收入 × 优化决策 Preset 候选,增长与收入,优化决策,DiD/因果推断,116,0.948,P1-优先工作流/Preset,p2s-ad-spend-time-series-attribution；p2s-ad-spend-time-series-attribution；p2s-agent-roi-measurement-framework；p2s-agent-roi-measurement-framework；p2s-autobidding-budget-allocation-optimization；p2s-autobidding-budget-allocation-optimization；p2s-bccb-causal-bandits；p2s-bccb-causal-bandits,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
