蓝图大区,蓝图赛道,责任候选,总数,可竞聘,可入围需补证,暂停竞聘,不参评,可合并,需拆分,保留变体,待核验,代表性skill,业务看点,下一步
价值创造,新品经营,消费者需求洞察,181,168,13,0,0,4,0,177,0,AI产品设计师；AI产品设计师；cbec-basket-analysis；doubao-product-selection；doubao-product-selection；doubao-product-selection；doubao-product-selection；JTBD分析器,这个 skill 能否帮助判断或推进一个新品经营事项？ 适合补齐需求证据、问题地图、VOC 或用户痛点判断。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新品经营,商业论证,80,80,0,0,0,0,0,80,0,p2s-ai-algorithmic-bias-audit；p2s-ai-algorithmic-bias-audit；p2s-amazon-compliance-error-auto-resolver；p2s-amazon-compliance-error-auto-resolver；p2s-amazon-external-traffic-boost；p2s-amazon-external-traffic-boost；p2s-atlas-hts-tariff-classification；p2s-atlas-hts-tariff-classification,这个 skill 能否帮助判断或推进一个新品经营事项？ 适合比较经营选项、投入风险、学习价值和成立条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新品经营,产品定义,12,12,0,0,0,0,0,12,0,p2s-caged-debiased-rec；p2s-caged-debiased-rec；p2s-csdm-diffusion-coldstart；p2s-csdm-diffusion-coldstart；p2s-embedding-fundamentals；p2s-embedding-fundamentals；p2s-generative-agent-simulation；p2s-generative-agent-simulation,这个 skill 能否帮助判断或推进一个新品经营事项？ 适合把需求和经营选择翻译成可验证的产品要求。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新品经营,产品验证,6,6,0,0,0,0,0,6,0,GTM战略规划；GTM战略规划；品牌Logo设计师；品牌Logo设计师；营销内容套件；营销内容套件,这个 skill 能否帮助判断或推进一个新品经营事项？ 适合形成带证据、范围和缺口的验证结论。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新品经营,产品实现,2,2,0,0,0,0,0,2,0,亚马逊竞品监控；亚马逊竞品监控,这个 skill 能否帮助判断或推进一个新品经营事项？ 适合产出方案、样品或实现说明，但不代表验证通过。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新品经营,产品市场准入,2,2,0,0,0,0,0,2,0,品牌声音提取器；品牌声音提取器,这个 skill 能否帮助判断或推进一个新品经营事项？ 适合判断某个版本、市场、用途或宣称是否可进入。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新品经营,渠道发布与可售核验,2,2,0,0,0,0,0,2,0,p2s-hgcn-hyperbolic-graph-convolutional-networks；p2s-hgcn-hyperbolic-graph-convolutional-networks,这个 skill 能否帮助判断或推进一个新品经营事项？ 适合区分提交、渠道接受和实际可售状态。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新品经营,供给与交付准备,1,1,0,0,0,0,0,1,0,linkfox-sorftime-amazon-product-query,这个 skill 能否帮助判断或推进一个新品经营事项？ 适合判断供应、库存、履约、成本和承诺兑现条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,持续经营,消费者需求洞察,312,292,20,0,0,4,0,308,0,1688-sourcing；doubao-ecommerce-proposal；doubao-ecommerce-proposal；doubao-ecommerce-proposal；doubao-ecommerce-proposal；douyinvideo2text-ai；linkfox-echotik-batch-product-detail；linkfox-echotik-list-product,这个 skill 能否帮助现有经营对象做更好的联动调整？ 适合补齐需求证据、问题地图、VOC 或用户痛点判断。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,持续经营,商业论证,252,238,14,0,0,0,0,252,0,p2s-a-plus-content-video-embedding；p2s-a-plus-content-video-embedding；p2s-adaptive-rag-query-routing；p2s-adaptive-rag-query-routing；p2s-agent-decision-confidence-threshold；p2s-agent-decision-confidence-threshold；p2s-agent-knowledge-distillation-sop；p2s-agent-knowledge-distillation-sop,这个 skill 能否帮助现有经营对象做更好的联动调整？ 适合比较经营选项、投入风险、学习价值和成立条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,持续经营,产品定义,50,50,0,0,0,0,0,50,0,p2s-agent-fault-tolerance；p2s-agent-fault-tolerance；p2s-cash-conversion-cycle-optimization；p2s-cash-conversion-cycle-optimization；p2s-causal-cohort-analysis；p2s-causal-cohort-analysis；p2s-cross-border-cash-flow-forecasting；p2s-cross-border-cash-flow-forecasting,这个 skill 能否帮助现有经营对象做更好的联动调整？ 适合把需求和经营选择翻译成可验证的产品要求。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,持续经营,产品实现,13,13,0,0,0,0,0,13,0,linkfox-dld-product-search；linkfox-junglescout-sales-estimates；linkfox-keepa-product-series；linkfox-sellersprite-competitor-lookup；linkfox-sellersprite-product-search；linkfox-sorftime-amazon-product-detail；linkfox-youying-shopee-get-product-infos；p2s-react-reasoning-acting,这个 skill 能否帮助现有经营对象做更好的联动调整？ 适合产出方案、样品或实现说明，但不代表验证通过。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,持续经营,产品验证,17,5,12,0,0,8,0,9,0,cbec-pricing-optimization；doubao-data-analysis；doubao-data-analysis；doubao-data-analysis；doubao-data-analysis；doubao-wealth-planning；doubao-wealth-planning；doubao-wealth-planning,这个 skill 能否帮助现有经营对象做更好的联动调整？ 适合形成带证据、范围和缺口的验证结论。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,持续经营,产品市场准入,1,1,0,0,0,0,0,1,0,infimind-video-analysis,这个 skill 能否帮助现有经营对象做更好的联动调整？ 适合判断某个版本、市场、用途或宣称是否可进入。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,持续经营,供给与交付准备,1,1,0,0,0,0,0,1,0,linkfox-1688-search-by-image,这个 skill 能否帮助现有经营对象做更好的联动调整？ 适合判断供应、库存、履约、成本和承诺兑现条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新市场经营,消费者需求洞察,112,109,3,0,0,0,0,112,0,customer-feedback-analysis；Destination Country Classification & Tax Calculation；linkfox-sif-keyword-overview；locale-guard；p2s-affective-computing-maternal-anxiety；p2s-affective-computing-maternal-anxiety；p2s-ai-fake-review-detection；p2s-ai-fake-review-detection,这个 skill 能否帮助判断新市场进入是否成立？ 适合补齐需求证据、问题地图、VOC 或用户痛点判断。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新市场经营,商业论证,88,84,4,0,0,0,0,88,0,p2s-3d-bin-packing-optimization；p2s-3d-bin-packing-optimization；p2s-account-association-risk-detection；p2s-account-association-risk-detection；p2s-adactx-dynamic-context-budget-allocation；p2s-adactx-dynamic-context-budget-allocation；p2s-agent-cost-optimization-budget-control；p2s-agent-cost-optimization-budget-control,这个 skill 能否帮助判断新市场进入是否成立？ 适合比较经营选项、投入风险、学习价值和成立条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新市场经营,产品定义,8,8,0,0,0,0,0,8,0,p2s-cross-border-tax-tariff-modeling；p2s-cross-border-tax-tariff-modeling；p2s-multi-currency-pnl-reconciliation；p2s-multi-currency-pnl-reconciliation；p2s-realtime-feature-collection；p2s-realtime-feature-collection；p2s-stamimputer-spatiotemporal；p2s-stamimputer-spatiotemporal,这个 skill 能否帮助判断新市场进入是否成立？ 适合把需求和经营选择翻译成可验证的产品要求。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新市场经营,上市经营策划,4,4,0,0,0,0,0,4,0,外联自动化；外联自动化；跨境电商情报雷达；跨境电商情报雷达,这个 skill 能否帮助判断新市场进入是否成立？ 适合组织目标客群、价值承诺、进入安排和经营验证。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新市场经营,产品验证,4,4,0,0,0,0,0,4,0,competitive-seo-intel；ecommerce-data-analyst；多语言SEO；多语言SEO,这个 skill 能否帮助判断新市场进入是否成立？ 适合形成带证据、范围和缺口的验证结论。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
价值创造,新市场经营,产品实现,3,3,0,0,0,0,0,3,0,linkfox-zhihuiya-patent-family；p2s-agent-stage-evaluation；p2s-agent-stage-evaluation,这个 skill 能否帮助判断新市场进入是否成立？ 适合产出方案、样品或实现说明，但不代表验证通过。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
