cluster_id,业务价值类型,问题类型,主核心能力,skill_count,high_confidence_count,needs_review_count,review_ratio,text_quality_risk_count,avg_confidence,top_sources,top_scenarios,三宝候选层级,三宝Preset候选,数字员工候选,代表技能,聚类说明,复核原因,代表用途
C-5e62d729-诊断归因,增长与收入,诊断归因,DiD/因果推断,44,42,7,0.159,2,0.919,home_skill:20；project_skill:19；icloud_paper_file_skill:4；icloud_skill:1,研发与代码:21；业务经营与AgenticOS:17；文档与知识:4；methodology-analysis:1；产品设计与UIUX:1,待复核资产池,增长与收入 × 诊断归因 Preset 候选,待人工命名,cbec-causal-inference；p2s-augmented-synthetic-control-ml；p2s-augmented-synthetic-control-ml；p2s-bayesian-structural-time-series；p2s-bayesian-structural-time-series；p2s-car-agent-causal-shapley；p2s-car-agent-causal-shapley；p2s-causal-churn-retention-attribution,围绕增长与收入中的诊断归因问题，主要使用DiD/因果推断能力处理。,2 条源文件不可稳定读取,跨境电商因果推断分析 - 在无法做A/B测试时，通过分层、匹配、差分等方法推断因果关系，找出关键影响因素；触发词：合成控制、新市场增量、跨市场对照、安慰剂检验、偏差修正。何时不用：单个站点内的活动增效用时序因果技能，判断达人层级回报用 KOL 因果归因技能，本技能用多市场加权构造反事实来评估市场准入。安全边界：跨市场数据须聚合到市场层级、不含个人信息，结论须附安慰剂检验与捐赠池质量说明，不得只报点估计。；触发词：合成控制、新市场增量、跨市场对照、安慰剂检验、偏差修正。何时不用：单个站点内的活动增效用时序因果技能，判断达人层级回报用 KOL 因果归因技能，本技能用多市场加权构造反事实来评估市场准入。安全边界：跨市场数据须聚合到市场层级、不含个人信息，结论须附安慰剂检验与捐赠池质量说明，不得只报点估计。
C-e06fb799-诊断归因,增长与收入,诊断归因,NLP/情感分析,2,2,0,0.0,0,0.95,home_skill:1；project_skill:1,研发与代码:2,原子技能组候选,增长与收入 × 诊断归因 Preset 候选,待人工命名,p2s-review-defense-vine-optimizer；p2s-review-defense-vine-optimizer,围绕增长与收入中的诊断归因问题，主要使用NLP/情感分析能力处理。,可进入下一轮业务聚类评审,触发词：Vine评论、差评防御、评分恢复测算、评论率预估、冷启动评论。何时不用：差评根因分析用评论根因类技能；评论异常速度检测用评论速度异常检测类技能。安全边界：不得以操纵评价为目的滥用 Vine 或伪造评论，须按平台规则合规申请；产品未通过质检时不得批量投放 Vine 单位。；触发词：Vine评论、差评防御、评分恢复测算、评论率预估、冷启动评论。何时不用：差评根因分析用评论根因类技能；评论异常速度检测用评论速度异常检测类技能。安全边界：不得以操纵评价为目的滥用 Vine 或伪造评论，须按平台规则合规申请；产品未通过质检时不得批量投放 Vine 单位。
C-6bac972b-诊断归因,增长与收入,诊断归因,预测建模,3,3,2,0.667,0,0.95,icloud_skill:2；home_skill:1,数据分析与BI:3,待复核资产池,增长与收入 × 诊断归因 Preset 候选,待人工命名,ecommerce-data-analyst；SKU 生命周期标注（导入/成长/成熟/衰退）；漏斗归因诊断,围绕增长与收入中的诊断归因问题，主要使用预测建模能力处理。,超过半数记录需要字段复核,"Data Agent for 母婴跨境电商 — 全量升级版。不只是数据分析工具，而是可独立运行的 Data Agent。 覆盖：数据采集→清洗→分析→异常检测→归因→自动报告→策略输入。 3 种执行模式：单次查询 / 定时报告 / 异常驱动告警。 内置 RFM 客户分群、Cohort 留存分析、A/B 测试评估、自动归因分析。 输出可直接被下游策略层消费的结构化载荷。；当已有销量时间序列或周度销量斜率、需将 SKU 标注为导入/成长/成熟/衰退以驱动归因或退场策略时调用；依赖 ERP 或报表数据。；Funnel attribution diagnosis for metric anomalies — nu/ou segmentation, layered funnel with CASE WHEN multi-event pattern, maximum contribution interval identification."
C-33a742c0-诊断归因,增长与收入,诊断归因,按技能原文流程执行,6,3,6,1.0,3,0.615,icloud_paper_file_skill:6,文档与知识:6,待复核资产池,增长与收入 × 诊断归因 Preset 候选,待人工命名,Skill-AIGC-Revenue-Attribution；Skill-Promo-ROI-Attribution-Supply-Side；Skill-TikTok-Creator-ROI-Attribution；Skill-AIGC-Revenue-Attribution；Skill-Promo-ROI-Attribution-Supply-Side；Skill-TikTok-Creator-ROI-Attribution,围绕增长与收入中的诊断归因问题，主要使用按技能原文流程执行能力处理。,3 条源文件不可稳定读取；超过半数记录需要字段复核；核心能力未结构化,"{""round"": 0, ""status"": ""keep"", ""score"": 88.0, ""best"": 88.0, ""mutated"": ""D10 three track"", ""ts"": ""2026-07-04T02:55:03.575292""}；{""round"": 0, ""status"": ""keep"", ""score"": 88.0, ""best"": 88.0, ""mutated"": ""D10 three track"", ""ts"": ""2026-07-04T01:41:37.630086""}；{""round"": 0, ""status"": ""keep"", ""score"": 88.0, ""best"": 88.0, ""mutated"": ""D10 three track"", ""ts"": ""2026-07-04T03:54:45.079558""}"
C-86ba9810-预测预警,增长与收入,预测预警,DiD/因果推断,7,7,3,0.429,0,0.947,project_skill:3；home_skill:3；icloud_skill:1,研发与代码:5；业务经营与AgenticOS:1；数据分析与BI:1,场景工作流候选,增长与收入 × 预测预警 Preset 候选,待人工命名,p2s-causal-uplift-modeling；p2s-causal-uplift-modeling；p2s-live-audience-real-time-personalization；p2s-live-audience-real-time-personalization；p2s-dqn-purchase-prediction；p2s-dqn-purchase-prediction；mckinsey-insight-extraction,围绕增长与收入中的预测预警问题，主要使用DiD/因果推断能力处理。,可进入下一轮业务聚类评审,"用于每月发 2 万张 20% 折扣券，其中 60-70% 是""必然购买者""（拿了券也会买，白给折扣）。Uplift 模型识别真正的""可说服者""，只向他们发券，节省预算同时提升增量 GMV。，通过DiD/因果推断；预测建模；实验/评估形成- 每位用户的 CATE 得分（升序排列） - 最优发券阈值：CATE X 的用户值得发券 - 增量 ROI：发券成本 vs 真实增量 GMV。；用于每月发 2 万张 20% 折扣券，其中 60-70% 是""必然购买者""（拿了券也会买，白给折扣）。Uplift 模型识别真正的""可说服者""，只向他们发券，节省预算同时提升增量 GMV。，通过DiD/因果推断；预测建模；实验/评估形成- 每位用户的 CATE 得分（升序排列） - 最优发券阈值：CATE X 的用户值得发券 - 增量 ROI：发券成本 vs 真实增量 GMV。；触发词：直播弹幕、意图分类、话术切换、实时受众画像、直播运营。何时不用：要预测直播间转化率下滑并预警用「直播转化率实时预测」；要事后挖掘话术与成交的因果时机用「直播话术优化 NLP」。安全边界：弹幕仅用于实时意图分析、不存储用户个人身份信息；话术模板不得含虚假宣传或价格误导…"
C-aa04f5c2-预测预警,增长与收入,预测预警,NLP/情感分析,9,9,1,0.111,0,0.95,project_skill:4；home_skill:4；icloud_skill:1,研发与代码:6；业务经营与AgenticOS:2；文档与知识:1,场景工作流候选,增长与收入 × 预测预警 Preset 候选,待人工命名,p2s-competitor-new-product-detection；p2s-competitor-new-product-detection；p2s-multimodal-new-product-sales-forecast；p2s-multimodal-new-product-sales-forecast；p2s-review-attack-hawkes-process；p2s-review-attack-hawkes-process；p2s-sir-viral-product-adoption-forecasting；p2s-sir-viral-product-adoption-forecasting,围绕增长与收入中的预测预警问题，主要使用NLP/情感分析能力处理。,可进入下一轮业务聚类评审,用于Momcozy 是主要竞品，每次他们推新品都会对我们的 BSR 造成冲击。如果能提前 4-6 周知道他们要推什么，可以提前调整备货/定价/营销策略。，通过预测建模；优化/运筹；NLP/情感分析形成- 竞品新品上市概率评分（每周更新） - 预警触发条件：哪个信号达到阈值 - 建议响应：提前备货/调整定价/加大广告防御。；用于Momcozy 是主要竞品，每次他们推新品都会对我们的 BSR 造成冲击。如果能提前 4-6 周知道他们要推什么，可以提前调整备货/定价/营销策略。，通过预测建模；优化/运筹；NLP/情感分析形成- 竞品新品上市概率评分（每周更新） - 预警触发条件：哪个信号达到阈值 - 建议响应：提前备货/调整定价/加大广告防御。；触发词：多模态预测、Google Trends、图片特征、新品备货、外部信号。何时不用：已有充足历史的主销 SKU 不必融合外部信号；要用事件文本与语义对齐修正预测时用「TimeCMA 跨模态对齐」。安全边界：无。
C-47c6ccf6-预测预警,增长与收入,预测预警,预测建模,51,47,18,0.353,4,0.895,home_skill:19；project_skill:18；icloud_paper_file_skill:8；icloud_skill:6,业务经营与AgenticOS:24；文档与知识:10；研发与代码:10；数据分析与BI:4；methodology-analysis:1,待复核资产池,增长与收入 × 预测预警 Preset 候选,待人工命名,cbec-anomaly-detection；cbec-cohort-analysis；cbec-yoy-mom-analysis；ecom-daily-report；p2s-agentic-pnl-analyst；p2s-agentic-pnl-analyst；p2s-business-scale-kpi-growth-achievement；p2s-business-scale-kpi-growth-achievement,围绕增长与收入中的预测预警问题，主要使用预测建模能力处理。,4 条源文件不可稳定读取,"跨境电商指标异常检测Skill。提供多种检测算法（绝对值阈值、同比环比、3σ、S-ESD、ARIMA），识别三类波动（一次性/周期性/持续性），支持多时间窗口基线。 触发条件: 1. 用户提到""异常检测""、""异常波动""、""指标预警"" 2. 用户询问""这个数据是否正常""、""波动是否异常"" 3. 用户需要""监控指标""、""异常识别"" 4. 用户提到""3σ""、""S-ESD""、""ARIMA预测"" 输出内容: - 异常检测结果（正常/异常） -…；跨境电商群组/留存分析Skill。基于同期群分析用户留存率、计算LTV、分析用户行为路径，帮助理解用户生命周期价值。 触发条件: 1. 用户提到""留存分析""、""同期群分析""、""Cohort"" 2. 用户询问""用户生命周期""、""LTV""、""CLV"" 3. 用户需要""用户粘性""、""复购率""分析 输出内容: - 留存率热力图 - 群组对比分析 - LTV计算结果 - 用户生命周期洞察；跨境电商趋势分析Skill。提供同比(YoY)、环比(MoM)、MAT、YTD等多种趋势分析方法，帮助识别业务趋势和季节性模式。 触发条件: 1. 用户提到""同比""、""环比""、""YoY""、""MoM"" 2. 用户需要""…"
C-d542efb1-预测预警,增长与收入,预测预警,合规/规则扫描,4,4,0,0.0,0,0.95,project_skill:2；home_skill:2,业务经营与AgenticOS:2；研发与代码:2,原子技能组候选,增长与收入 × 预测预警 Preset 候选,待人工命名,p2s-high-value-customer-proactive-alert；p2s-high-value-customer-proactive-alert；p2s-listing-suppression-detection；p2s-listing-suppression-detection,围绕增长与收入中的预测预警问题，主要使用合规/规则扫描能力处理。,可进入下一轮业务聚类评审,触发词：沉默告警、高价值客户、P0 工单、间隔倍数、冷却期、主动联系。何时不用：要做 RFM 全群分级触达用高价值客户告警动作那张卡；本卡只做沉默信号检测与工单触发，不做全群营销编排。安全边界：必须设置冷却期避免重复打扰，触达须获用户授权并遵守反骚扰要求，不得对同一客户短期内反复外呼。；触发词：沉默告警、高价值客户、P0 工单、间隔倍数、冷却期、主动联系。何时不用：要做 RFM 全群分级触达用高价值客户告警动作那张卡；本卡只做沉默信号检测与工单触发，不做全群营销编排。安全边界：必须设置冷却期避免重复打扰，触达须获用户授权并遵守反骚扰要求，不得对同一客户短期内反复外呼。；触发词：Listing 压制检测、CUSUM 突变检测、流量解耦、自然流量归零、静默降权。何时不用：要判断的是 ASIN 是否被索引收录时用「索引健康度监控」；要判断的是 Buy Box 是否被跟卖抢走时用「Buy Box 劫持实时监控」。安全边界：只给疑似压制的统计信号，不判定违规条款、不代提交申诉。
C-83df65c6-预测预警,增长与收入,预测预警,工程模式/自动化,2,2,0,0.0,0,0.95,home_skill:1；project_skill:1,业务经营与AgenticOS:2,原子技能组候选,增长与收入 × 预测预警 Preset 候选,待人工命名,p2s-seller-rating-attack-pattern；p2s-seller-rating-attack-pattern,围绕增长与收入中的预测预警问题，主要使用工程模式/自动化能力处理。,可进入下一轮业务聚类评审,触发词：A-to-Z 索赔、ODR 超标、恶意索赔、新账号索赔、账号申诉。何时不用：差评集群攻击与排名打压预警走「差评攻击预警」；真实售后体验问题引发的索赔应先走服务与体验改进。安全边界：只做攻击判定与申诉材料整理，不得伪造证据或诱导买家撤诉。；触发词：A-to-Z 索赔、ODR 超标、恶意索赔、新账号索赔、账号申诉。何时不用：差评集群攻击与排名打压预警走「差评攻击预警」；真实售后体验问题引发的索赔应先走服务与体验改进。安全边界：只做攻击判定与申诉材料整理，不得伪造证据或诱导买家撤诉。
C-3ade9da6-优化决策,增长与收入,优化决策,DiD/因果推断,116,116,16,0.138,0,0.948,home_skill:59；project_skill:55；icloud_skill:2,研发与代码:60；业务经营与AgenticOS:47；数据分析与BI:6；campaign-analysis:1；methodology-analysis:1,Preset/数字员工能力池候选,增长与收入 × 优化决策 Preset 候选,待人工命名,p2s-ad-spend-time-series-attribution；p2s-ad-spend-time-series-attribution；p2s-agent-roi-measurement-framework；p2s-agent-roi-measurement-framework；p2s-autobidding-budget-allocation-optimization；p2s-autobidding-budget-allocation-optimization；p2s-bccb-causal-bandits；p2s-bccb-causal-bandits,围绕增长与收入中的优化决策问题，主要使用DiD/因果推断能力处理。,可进入下一轮业务聚类评审,触发词：Adstock 衰减、carryover、饱和曲线、因果 MMM、渠道贡献拆分、大促延续投放。何时不用：只有一两周数据时无法拟合衰减率；要判断个体级归因时用多触点归因。安全边界：使用渠道级聚合数据、不涉及用户级隐私，平台数据获取需走官方导出或 API。；触发词：Adstock 衰减、carryover、饱和曲线、因果 MMM、渠道贡献拆分、大促延续投放。何时不用：只有一两周数据时无法拟合衰减率；要判断个体级归因时用多触点归因。安全边界：使用渠道级聚合数据、不涉及用户级隐私，平台数据获取需走官方导出或 API。；触发词：Agent ROI、三维评估、对照组实验、Token 成本、净收益量化。何时不用：要衡量搜索等单一渠道的利润贡献用「搜索流量财务归因」；要评估促销活动的因果增量用「促销 ROI 前后对比」。安全边界：对照组须预留比例并说明机会成本；调价类 Agent 的下限须硬编码为成本加毛利底线，日志留存备查。
