能力包编号,能力包候选,服务业务结果,能力包定位,覆盖问题类型,总数,可竞聘,可入围需补证,暂停竞聘,不参评,推荐先看,候选边界,代表性skill,下一步业务动作
B01,机会洞察与商业论证,机会到投入取舍,先把需求、市场与商业成立条件说清楚。,消费者与市场机会判断；商业机会与投入取舍,1097,254,58,785,0,消费者与市场机会判断；商业机会与投入取舍,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,alibaba-global-ai-image-studio；alibaba-global-chat-analysis-pro；build-ai-report；Claude 教程采集与翻译项目；equity-earnings-review；financial-report-reader,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B02,新品定义、实现与验证,需求到可验证产品,把机会转成可验证的产品要求、方案和质量结论。,产品定义与方案设计；产品实现与质量验证,569,91,12,466,0,产品定义与方案设计；产品实现与质量验证,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,AI产品设计师；AI产品设计师；linkfox-1688-search-by-image；linkfox-echotik-list-new-product-rank；linkfox-zhihuiya-patent-image-search；linkfox-zhihuiya-utility-patent-image-search,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B03,准入与上市准备,产品到可进入市场,把适用市场、准入要求、上市路径和可售条件连起来。,市场准入与合规判断；上市与新市场进入,337,146,7,184,0,市场准入与合规判断；上市与新市场进入,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,Destination Country Classification & Tax Calcul…；GTM战略规划；GTM战略规划；linkfox-zhihuiya-legal-status；p2s-ai-cultural-sensitivity-localization；p2s-ai-cultural-sensitivity-localization,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B04,品牌内容、获客与转化,价值主张到用户行动,用可信表达、内容和投放让目标人群理解并行动。,品牌、内容与转化表达；获客投放与增长优化,1001,242,18,741,0,品牌、内容与转化表达；获客投放与增长优化,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,brand-naming-lab；campaign-planner；competitive-report；competitive-seo-intel；dingtalk-doc；douyinvideo2text-ai,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B05,定价、促销与经营经济性,价格动作到经济结果,比较价格和促销安排，说明利润、现金和执行前提。,定价、促销与经营经济性,266,103,4,159,0,定价、促销与经营经济性,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,1688-sourcing；cashflow-valuation；cbec-basket-analysis；cbec-pricing-optimization；linkfox-junglescout-product-database；linkfox-keepa-product-request,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B06,需求、供给与履约联动,需求变化到兑现条件,把需求、库存、供给和履约作为同一经营问题看。,需求、供给与履约联动,737,183,4,550,0,需求、供给与履约联动,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,alibaba-prohibited-rule-interpretation；p2s-3d-bin-packing-optimization；p2s-3d-bin-packing-optimization；p2s-agent-fault-tolerance；p2s-agent-fault-tolerance；p2s-ai-carbon-footprint-optimizer,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B07,经营监测、实验与优化,结果变化到可验证调整,基于事实、解释和预测组织诊断、实验和复盘。,经营监测、诊断与实验,782,254,26,502,0,经营监测、诊断与实验,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,ecommerce-data-analyst；linkfox-fastmoss-product-rank-top-selling；linkfox-youying-shopee-get-product-infos；p2s-ab-experimental-design；p2s-ab-experimental-design；p2s-ab-variance-downstream,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B08,数据、口径与语义底座,业务事实到可协作数据,提供可信的数据、口径和对象关系，服务多角色协作。,数据、口径与语义治理,322,61,12,249,0,数据、口径与语义治理,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,excel-product-data；fiction-polish-distill；line-chart-visualization；linkfox-amazon-alexa-search；linkfox-junglescout-sales-estimates；linkfox-zhihuiya-abstract-image,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B09,知识、方法与工作流资产,经验到可复用方法,把研究、经验和 SOP 整理为有适用范围的能力材料。,知识、方法与工作流沉淀,3467,107,51,3309,0,知识、方法与工作流沉淀,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,book-knowledge-extraction；fyopen-lawsearch；grade2-math-worksheet；ilya-sutskever-perspective；linkfox-fastmoss-product-search；naval-perspective,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
B10,工具、自动化与运行保障,已确认方法到稳定运行,让工具调用、自动化、测试和部署具备可维护性。,工具、自动化与运行保障,1048,29,17,1002,0,工具、自动化与运行保障,这是竞聘组合候选，不等同正式岗位、Preset、数字员工或业务授权。,agentic-eval；aily-cli-event；aily-cli-event；alibaba-global-product-publish；browser-rpa-run；code-documenter,挑 3-5 个代表候选做责任节点初筛，核对真实事项、输入样例、输出样例和验收证据。
