primary_cluster_key,primary_cluster_name_cn,sanbao_candidate_level,sanbao_chain_candidate,sanbao_responsibility_candidate,receiving_object,count,high_confidence_count,needs_review_count,blocked_count,top_sources,top_problem_types,representative_skills,representative_outputs,next_action
REVIEW_ONLY,待复核/补证,FORMAL_CANDIDATE_BLOCKED,待复核,待人工判断,待复核对象,1793,1518,777,1793,home_skill:1046；project_skill:597；icloud_skill:60；icloud_paper_file_skill:60,优化决策:494；治理合规:358；集成部署:217；生成制作:197；自动化执行:120,1688找货选品；ad-creative；ad-creative；ai-skill-optimizer；alibaba-global-image-product-publish；alibaba-global-knowledge-base；alibaba-global-smart-assistant-settings；alibaba-icbu-trade-after-sales-refund-submit,"- Agent 必须完整输出 CLI 返回的 markdown 字段（英文用户按「语言处理」规则整体翻译后输出）。 - 多目标整合透传 ：多目标取数成功后，逐目标完整结果均进对话正文——每个目标各自完整输出其 CLI 返回的 markdown 全文（「各出各的 markdown」的整合形态：全部目标逐一透传，见 references/common/multi-target.md），禁止以落盘文件替代对话正文输出，禁止仅输出摘要。 - 禁止省略、截断或重排表格行。 - 禁止丢失商品链接。 - 禁止把表格改写成列表、…；输入 : 蓝牙耳机，目标受众25-35岁上班族，投放Facebook 输出 : - 版本A（功能导向）: ""降噪黑科技，地铁秒变静音舱"" - 版本B（情感导向）: ""通勤2小时，终于能听清播客"" - 版本C（价格导向）: ""千元音质，三分之一价格""；输入 : 蓝牙耳机，目标受众25-35岁上班族，投放Facebook 输出 : - 版本A（功能导向）: ""降噪黑科技，地铁秒变静音舱"" - 版本B（情感导向）: ""通勤2小时，终于能听清播客"" - 版本C（价格导向）: ""千元音质，三分之一价格""",先补证和人工复核，不进入正式能力目录
REVIEW_ONLY,待复核/补证,REVIEW_ONLY,待复核,待人工判断,待复核对象,8813,3584,8540,0,home_skill:4201；icloud_paper_file_skill:2415；project_skill:1226；icloud_skill:533,其他/待人工归类:1453；生成制作:1403；优化决策:1005；自动化执行:856；集成部署:848,3-statements；A+ 模块化内容生成（吸奶器/母婴电器模板）；ab-testing；academic-paper-reviewer；academic-writing；accio-mcp-cli；accio-product-supplier-sourcing；ad-copywriter,This section consolidates all validation checks and audit procedures for completed templates.；- module id title body image brief lang char count - 上传检查表 ：字符上限、禁止 HTML。；字段 说明 格式 ------ ------ ------ 分析结果 结构化的问题分析或洞察 Markdown/表格/图表 解决方案 可执行的策略或方案 步骤清单/流程图 执行指南 具体的操作步骤和注意事项 编号列表/检查清单 风险提示 潜在问题和规避建议 高/中/低分级 关联建议 下一步行动或相关skill推荐 skill名称+触发条件,先补证和人工复核，不进入正式能力目录
VALUE_NEW_PRODUCT,新品经营价值链,ATOM_SKILL_CANDIDATE,新品经营,消费者需求洞察,需求证据/问题地图,172,172,0,0,home_skill:86；project_skill:85；icloud_skill:1,治理合规:60；预测预警:26；优化决策:25；评估验证:14；生成制作:13,AI产品设计师；AI产品设计师；cbec-basket-analysis；doubao-product-selection；doubao-product-selection；doubao-product-selection；doubao-product-selection；JTBD分析器,每套概念必须包含： - 标题 - 核心服务时刻 - 设计逻辑 - 关键结构/交互特征 - 与 Momcozy 现有能力的匹配度 - Hero 图或视觉描述；每套概念必须包含： - 标题 - 核心服务时刻 - 设计逻辑 - 关键结构/交互特征 - 与 Momcozy 现有能力的匹配度 - Hero 图或视觉描述；- 对高提升度组合 → 建议捆绑销售/套装定价 - 对高置信度组合 → 建议交叉推荐/购物车追加 - 对低置信度高销售额商品 → 建议单独分析购买路径,进入经营链条评审，确认事项对象、责任节点、输入输出和验收
VALUE_NEW_PRODUCT,新品经营价值链,ATOM_SKILL_CANDIDATE,新品经营,商业论证,经营选项/验证建议,80,80,0,0,home_skill:40；project_skill:40,治理合规:36；优化决策:16；检索组织:10；生成制作:6；自动化执行:4,p2s-ai-algorithmic-bias-audit；p2s-ai-algorithmic-bias-audit；p2s-amazon-compliance-error-auto-resolver；p2s-amazon-compliance-error-auto-resolver；p2s-amazon-external-traffic-boost；p2s-amazon-external-traffic-boost；p2s-atlas-hts-tariff-classification；p2s-atlas-hts-tariff-classification,（卡页此段是占位串，实际输出规格见下方「输入 / 输出契约」。）；（卡页此段是占位串，实际输出规格见下方「输入 / 输出契约」。）；（卡页此段是占位串，实际输出规格见下方「输入 / 输出契约」。）,进入经营链条评审，确认事项对象、责任节点、输入输出和验收
VALUE_NEW_PRODUCT,新品经营价值链,ATOM_SKILL_CANDIDATE,新品经营,产品定义,产品要求/验收条件,12,12,0,0,home_skill:6；project_skill:6,治理合规:6；优化决策:2；自动化执行:2；检索组织:2,p2s-caged-debiased-rec；p2s-caged-debiased-rec；p2s-csdm-diffusion-coldstart；p2s-csdm-diffusion-coldstart；p2s-embedding-fundamentals；p2s-embedding-fundamentals；p2s-generative-agent-simulation；p2s-generative-agent-simulation,（卡页此段是占位串，实际输出规格见下方「输入 / 输出契约」。）；（卡页此段是占位串，实际输出规格见下方「输入 / 输出契约」。）；（卡页此段是占位串，实际输出规格见下方「输入 / 输出契约」。）,进入经营链条评审，确认事项对象、责任节点、输入输出和验收
VALUE_NEW_PRODUCT,新品经营价值链,ATOM_SKILL_CANDIDATE,新品经营,产品验证,验证结论/缺陷与未验证项,6,6,0,0,project_skill:6,优化决策:4；生成制作:2,GTM战略规划；GTM战略规划；品牌Logo设计师；品牌Logo设计师；营销内容套件；营销内容套件,- GTM 策略文档 - 渠道计划 - 定价建议 - 上市时间表 - 物料清单 - KPI 指标；- GTM 策略文档 - 渠道计划 - 定价建议 - 上市时间表 - 物料清单 - KPI 指标；不能只是： - 一套金色 - 一套粉色 - 一套扁平 而应该是： - 一套偏“温暖智能” - 一套偏“柔和专业” - 一套偏“女性自我掌控感” 每套都要说明： - 认知目标 - 图形逻辑 - 字标关系 - 为什么对 Momcozy 有意义 ---,进入经营链条评审，确认事项对象、责任节点、输入输出和验收
VALUE_NEW_PRODUCT,新品经营价值链,ATOM_SKILL_CANDIDATE,新品经营,产品实现,方案或样品及交付说明,2,2,0,0,project_skill:2,自动化执行:2,亚马逊竞品监控；亚马逊竞品监控,- 竞品价格变动报告 - 促销活动汇总 - 评价变化趋势 - 排名波动分析 - 应对建议；- 竞品价格变动报告 - 促销活动汇总 - 评价变化趋势 - 排名波动分析 - 应对建议,进入经营链条评审，确认事项对象、责任节点、输入输出和验收
VALUE_NEW_PRODUCT,新品经营价值链,ATOM_SKILL_CANDIDATE,新品经营,产品市场准入,准入判断/证据缺口,2,2,0,0,project_skill:2,生成制作:2,品牌声音提取器；品牌声音提取器,- 品牌人格画像 - 语调特征（4维度） - 用词规范 - 句式偏好 - 禁忌清单 - 应用示例 语调四维度打分细则见 references/tone-dimensions.md，完整落地示例见 examples/full-example.md。；- 品牌人格画像 - 语调特征（4维度） - 用词规范 - 句式偏好 - 禁忌清单 - 应用示例 语调四维度打分细则见 references/tone-dimensions.md，完整落地示例见 examples/full-example.md。,进入经营链条评审，确认事项对象、责任节点、输入输出和验收
VALUE_NEW_PRODUCT,新品经营价值链,ATOM_SKILL_CANDIDATE,新品经营,渠道发布与可售核验,发布结果/可售判断,2,2,0,0,project_skill:1；home_skill:1,自动化执行:2,p2s-hgcn-hyperbolic-graph-convolutional-networks；p2s-hgcn-hyperbolic-graph-convolutional-networks,输入 ：层次化图结构数据：品类树（节点为品类或产品、边为父子关系）、产品属性特征（价格带、适用人群、功能特性）、用户交互数据（浏览、购买、收藏）。 输出 ：层次化节点嵌入，以及据此产出的跨层级推荐与新品自动分类结果，供推荐与商品归类环节使用。；输入 ：层次化图结构数据：品类树（节点为品类或产品、边为父子关系）、产品属性特征（价格带、适用人群、功能特性）、用户交互数据（浏览、购买、收藏）。 输出 ：层次化节点嵌入，以及据此产出的跨层级推荐与新品自动分类结果，供推荐与商品归类环节使用。,进入经营链条评审，确认事项对象、责任节点、输入输出和验收
VALUE_NEW_PRODUCT,新品经营价值链,ATOM_SKILL_CANDIDATE,新品经营,供给与交付准备,供给与交付方案,1,1,0,0,home_skill:1,检索组织:1,linkfox-sorftime-amazon-product-query,字段 类型 必填 约束/默认值 说明 --- --- :---: --- --- msg string 否 响应消息 code integer 否 响应码（200表示成功） page integer 否 当前页码 type string 否 渲染的样式 total integer 否 总数 columns array 否 渲染的列,进入经营链条评审，确认事项对象、责任节点、输入输出和验收
